,21930,54123,14825,12862,21393,12759,14726,24131,76722,20307,21857,18642,14734,140781,11937,12702,53412,59011,20739,68713,17930,56012,67951,12372,16177,11815,12273,69550,19734,18227,17897,17906,20311,67775,12475,11474,12715,14077,73710,21957
0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
