,GSM2651032,GSM2651033,GSM2651034,GSM2651035,GSM2651036,GSM2651037,GSM2651038,GSM2651039,GSM2651040,GSM2651041,GSM2651042,GSM2651043,GSM2651044,GSM2651045,GSM2651046,GSM2651047
Wbp5,12.83443525,12.70342796,11.77792035,11.81625457,12.10460664,11.81516296,12.83550439,12.77083693,12.09794294,12.03925466,13.01933867,12.66678747,12.91506007,13.01952099,11.84861792,12.14083248
Gm626,9.174923362,9.6304134,10.1953338345,10.230234127,10.102703147,10.325362408,9.612354672,9.4159826045,10.5156031825,10.661179598,9.3035879965,9.658541957,9.752874968,9.497652685,10.3250010615,10.396325945
Adamts4,11.2879390106667,11.195484077,8.55208938266667,9.62640574133333,9.99788784733333,8.88806333366667,11.3947410416667,11.1327930463333,9.152797191,9.17366449133333,11.5058052966667,10.909681783,11.6253523933333,10.843981637,9.133752695,9.58216932133333
Tubb6,14.66179872,14.43469574,12.68167487,13.54301148,13.56474547,12.86389892,14.85865601,14.33390515,12.84809158,13.11880418,14.63988369,14.638589,14.69114922,14.70205818,13.48569896,13.61573044
Lgals3bp,10.479335691,10.306826616,9.532398591,9.958917676,9.8394758815,9.722783019,10.5500850825,10.363734547,9.7253455835,9.7825341415,10.267623626,10.3409688065,10.3447781635,10.3304156475,9.856414409,9.7379787475
Txndc5,13.93975283,13.70980077,12.42534165,13.03708114,13.22461525,12.64968994,13.84694973,13.78462511,12.60439204,12.64958886,13.74228492,13.90511369,13.85652399,14.08856425,12.64495562,12.94275698
Chsy1,13.2762361,12.89423306,11.26473375,11.66676348,12.22161252,11.55327822,13.37422297,13.10372483,11.66592476,11.47002259,13.26972435,12.78943316,13.27013332,13.26651521,11.70911365,12.02759047
Bpgm,9.802454732,10.30254809,13.45498601,12.93750267,11.99450078,13.35149417,9.672989268,10.31891659,12.05726488,12.46485615,9.478184916,9.310551469,9.726920204,9.711737723,11.7583627,12.35858301
Ier5l,12.69551848,12.53326414,11.533701,11.90083574,11.81044,11.6119812,12.51907292,12.63302687,11.92420654,12.01672112,12.88347969,12.86370768,12.67771421,13.0899287,11.56177889,11.73305098
Akap8l,9.144753202,9.484418679,10.134457,10.02533725,9.803064443,10.1112653,9.386549009,9.310596544,10.20867261,10.08116325,9.32599574,9.31516949,9.443972584,9.17764097,9.769250498,9.836884149
Klf9,10.369768225,10.576805735,11.03856977,11.265775495,11.475021065,11.277003745,10.538958795,10.52648799,11.606065125,11.3174894,10.129615102,10.459264795,10.526616115,10.362589226,11.23067101,11.348967595
Akr1b8,13.87417999,13.6989159,12.43882405,13.22244184,13.28249041,12.69136984,13.92066038,13.51175221,12.75240944,12.99456048,14.04401556,13.77755908,13.81961971,13.86957481,12.93231084,12.95371868
S100b,9.988463164,10.51391852,11.39121939,10.92708993,10.88361218,11.21891695,9.766040117,9.806926934,11.43360613,11.52004499,9.847163749,10.24742268,9.872288056,9.340932383,11.35107167,11.56445339
Amacr,12.22798406,11.5499646,9.918098861,9.902021351,10.53815944,10.10138121,12.16610317,11.70183711,10.42333808,10.36545013,12.15442095,11.40348045,12.05594775,12.36010079,10.36288715,10.63717321
Ecm2,10.00609853,9.879811072,11.0345452,10.86634273,11.46650853,11.50307305,9.919803565,9.464451284,11.16467573,11.11398926,9.085931637,9.188347147,9.605163267,9.366639264,11.28894273,11.64035928
Dbn1,11.5045759,11.22684523,9.513191379,10.33835121,10.50978404,9.647273018,11.42920094,11.22454158,10.07130398,10.06192426,11.5932505,11.04702378,11.31870262,11.43374471,9.690081893,10.21091044
Timp1,15.18903959,15.15350633,12.47738571,13.85898847,14.34186868,12.52699805,15.3340834,15.14096771,13.31472708,13.25303296,15.92885747,15.49144951,15.54974066,16.21258594,13.34095372,13.54319
Gstm3,12.08223239,12.34380883,13.38181628,13.1819495,13.11307606,13.40997992,12.06733682,12.43847735,13.49609677,13.61437032,11.68985669,12.06464808,11.95596647,11.61544193,13.52448137,13.28651011
Snhg6,12.69131861,12.50497731,11.87941899,11.8485035,12.05742727,11.97447202,12.65978489,12.48643525,12.01346704,12.00665445,12.82239417,12.5570392,12.68295497,12.74246788,11.78354623,11.96214516
Crabp1,10.9051501985,10.5901272025,6.2433485775,6.987862925,6.729007376,7.296910727,10.1776668735,10.2385282815,7.3593582645,7.039287348,10.24587227,10.993174015,10.442336958,9.7408313295,8.150273107,7.861226106
Igsf3,10.7841924,10.332034418,9.1950777845,9.2915128775,9.577083996,9.372264204,10.608794865,10.5843334365,9.6349527725,9.576980537,10.648501404,10.07025328,10.661170894,10.808524095,9.2864127155,9.7243638695
Bst2,12.31296341,12.13596562,10.90763555,11.52413168,11.19980424,10.99939713,12.46216351,12.42690052,11.23033706,11.49916128,12.05239929,12.59795152,12.05583934,12.28094998,11.35557675,11.32600431
Tnfaip6,12.58530948,12.32416134,9.341325051,10.06713465,10.99283159,9.799317513,12.92788081,12.39724309,9.981143635,10.1116502,12.53479096,11.2965884,12.07758405,13.21217789,10.25317145,10.45807518
Sec61b,14.51201007,14.341334755,13.745092045,13.94889182,14.047496515,13.620765495,14.482791865,14.44837921,13.883362625,13.73732764,14.57979116,14.47730025,14.554433905,14.56205185,13.971315725,13.93477891
1110034G24Rik,9.909897957,9.882891048,10.34304186,10.35067481,10.3309575,10.50511038,9.879451184,9.832764082,10.38056046,10.27831606,9.848023786,9.818351031,9.783647765,9.692018708,10.51473452,10.54044427
Twf1,10.502305563,10.3981232395,9.1373828005,9.5134119195,9.84368823,9.2343772575,10.661239618,10.3936655275,9.521306599,9.505768473,10.724735959,10.409793558,10.550623098,10.7453813195,9.576066586,9.79926703
Myoc,9.136997249,10.18223323,11.73888863,11.33254375,11.49442809,12.20773627,9.04404316,9.141958437,12.93875857,12.59120185,9.03217914,8.210305812,8.628434645,7.917442785,11.9289422,12.63286529
Cebpb,13.15595021,13.22997327,12.49335346,12.76966531,12.78133324,12.48825048,13.38469943,13.62927503,12.37166885,12.66673904,13.12731243,13.25671904,13.19717084,13.48236563,12.98847309,12.3966335
Adra2a,11.1519992,11.07938226,9.669886902,9.956600569,10.34662088,9.682336931,11.16563597,10.83908387,10.05650013,10.35734165,11.16191293,10.96387153,11.0634639,11.22059805,9.865242458,10.18519764
Dcaf11,9.643853374,9.875571487,10.696621844,10.3590668195,10.356330442,10.4881962805,9.625018832,9.4797967225,10.7211558455,10.735424973,9.7699172435,9.643156373,9.7317503915,9.55049037,10.35055712,10.323225652
Sec61a1,11.3274637776667,11.72027218,10.3102705793333,10.6454874726667,10.8841609486667,10.420808311,11.4086628066667,11.4602443973333,10.632609609,10.6098939486667,11.5104481776667,11.5088093833333,11.5472468796667,11.7432417083333,10.6595967826667,10.782884227
Zrsr1,9.366750941,9.295867621,10.50216891,10.15048368,10.09484619,10.66153486,9.241582145,9.247293039,10.13917388,10.13638527,8.936054806,8.750388021,9.377967903,8.709886958,10.26592752,10.32854489
Pdpn,14.15637547,14.28961695,13.09354097,13.90219691,13.73876813,13.38751231,14.36544011,14.31432644,13.39081733,13.60916477,14.57840918,14.38000478,14.36433535,14.87890249,13.58266833,13.51789481
Fgl2,9.580088298,9.906785903,10.4615753,10.17742063,10.24034575,10.6822354,9.329145835,9.384980342,10.73396498,10.63467629,9.408085298,10.01625939,9.619306963,9.486495761,10.57027135,10.86917545
LOC102633627,13.44612019,13.18006124,12.25168353,12.6814183,12.88187288,12.23543049,13.38296716,13.19697159,12.27318415,12.25585284,13.29480908,13.22745842,13.36809502,13.36471196,12.58332623,12.57299457
Tusc2,10.57501927,10.517811,11.30638209,11.05192525,11.0820827,11.33525326,10.48114338,10.52688919,11.31758567,11.39846713,10.38955334,10.45428653,10.25125455,10.15124599,11.13488499,11.1444375
2210407C18Rik,5.897508907,7.512774639,10.38776384,9.736818217,7.775246887,9.326135425,5.776539139,6.015925306,9.910142101,9.907686108,4.52514038,7.649298727,7.366788246,5.286100566,10.49229934,10.57588292
Ankrd9,9.048555659,8.958218555,11.14018758,9.97094993,10.28288419,10.82700407,8.866680691,9.285090383,10.68758034,10.70411276,8.836544566,8.545542019,8.915163016,8.633184058,10.23806851,10.09079145
Ppa1,10.1286318235,9.979556604,9.169913,9.6605644765,9.928645849,9.164025862,10.2330154395,10.3022462875,9.3159641125,9.474747066,10.0528750655,10.2763747055,10.231077619,10.1873190535,9.321579428,9.2748861475
Txnip,11.911007785,11.946859835,12.973986335,13.02492853,12.652623685,13.110699115,11.488112503,11.9855811,13.23166016,13.29307178,11.742935945,11.933469685,11.83424827,11.703466965,12.92822181,12.74845956
Bzw1,11.21636781,11.19953357,10.656935742,10.8779843366667,10.9365446883333,10.6897928413333,11.28229422,11.20330006,10.6834426073333,10.8578922433333,11.33550943,11.1733683733333,11.1593598666667,11.30587459,10.7726253526667,10.869399012
Fscn1,10.63780057,10.44791191,8.622838543,9.257511937,9.386271832,8.658910581,10.53678906,10.36726696,9.407722059,9.205738931,11.04717847,11.14500751,10.79035392,11.02722435,8.818781653,9.264311156
Steap1,10.67310207,10.38872841,8.361056077,9.320493627,9.67444755,8.876002827,10.75359197,10.43614296,8.904719821,8.806221472,11.06605729,10.22512736,10.69421556,11.00842611,8.599024895,9.247800033
